Age;Distribution
27.7;4.4402199251255E-05
27.8;4.4402199251255E-05
27.9;4.42300977037695E-05
28;4.4057996156284E-05
28.1;4.42300977037695E-05
28.2;4.4402199251255E-05
28.3;4.45743007987405E-05
28.4;4.4746402346226E-05
28.5;4.49185038937115E-05
28.6;4.50906054411969E-05
28.7;4.52627069886824E-05
28.8;4.54348085361679E-05
28.9;4.56069100836534E-05
29;4.57790116311389E-05
29.1;4.57790116311389E-05
29.2;4.61232147261099E-05
29.3;4.62953162735953E-05
29.4;4.64674178210808E-05
29.5;4.68116209160518E-05
29.6;4.69837224635373E-05
29.7;4.73279255585082E-05
29.8;4.75000271059937E-05
29.9;4.78442302009647E-05
30;4.80163317484502E-05
30.1;4.88768394858776E-05
30.2;4.99094487707905E-05
30.3;5.11141596031889E-05
30.4;5.21467688881018E-05
30.5;5.33514797205002E-05
30.6;5.43840890054131E-05
30.7;5.5416698290326E-05
30.8;5.66214091227244E-05
30.9;5.76540184076373E-05
31;5.86866276925502E-05
31.1;5.95471354299776E-05
31.2;6.02355416199196E-05
31.3;6.0751846262376E-05
31.4;6.12681509048325E-05
31.5;6.17844555472889E-05
31.6;6.23007601897454E-05
31.7;6.28170648322018E-05
31.8;6.35054710221438E-05
31.9;6.40217756646002E-05
32;6.45380803070567E-05
32.1;6.48822834020277E-05
32.2;6.48822834020277E-05
32.3;6.48822834020277E-05
32.4;6.48822834020277E-05
32.5;6.48822834020277E-05
32.6;6.48822834020277E-05
32.7;6.48822834020277E-05
32.8;6.48822834020277E-05
32.9;6.48822834020277E-05
33;6.48822834020277E-05
33.1;6.53985880444841E-05
33.2;6.62590957819115E-05
33.3;6.7119603519339E-05
33.4;6.78080097092809E-05
33.5;6.86685174467083E-05
33.6;6.95290251841357E-05
33.7;7.02174313740777E-05
33.8;7.10779391115051E-05
33.9;7.19384468489325E-05
34;7.26268530388745E-05
34.1;7.33152592288164E-05
34.2;7.33152592288164E-05
34.3;7.33152592288164E-05
34.4;7.33152592288164E-05
34.5;7.33152592288164E-05
34.6;7.33152592288164E-05
34.7;7.33152592288164E-05
34.8;7.33152592288164E-05
34.9;7.33152592288164E-05
35;7.33152592288164E-05
35.1;7.33152592288164E-05
35.2;7.36594623237874E-05
35.3;7.40036654187583E-05
35.4;7.41757669662438E-05
35.5;7.45199700612148E-05
35.6;7.48641731561858E-05
35.7;7.50362747036712E-05
35.8;7.53804777986422E-05
35.9;7.57246808936132E-05
36;7.58967824410987E-05
36.1;7.64130870835551E-05
36.2;7.71014932734971E-05
36.3;7.7789899463439E-05
36.4;7.84783056533809E-05
36.5;7.91667118433229E-05
36.6;7.98551180332648E-05
36.7;8.05435242232067E-05
36.8;8.10598288656632E-05
36.9;8.17482350556051E-05
37;8.24366412455471E-05
37.1;8.27808443405181E-05
37.2;8.26087427930326E-05
37.3;8.22645396980616E-05
37.4;8.19203366030906E-05
37.5;8.15761335081197E-05
37.6;8.14040319606342E-05
37.7;8.10598288656632E-05
37.8;8.07156257706922E-05
37.9;8.05435242232067E-05
38;8.01993211282358E-05
38.1;8.03714226757213E-05
38.2;8.07156257706922E-05
38.3;8.08877273181777E-05
38.4;8.12319304131487E-05
38.5;8.15761335081197E-05
38.6;8.19203366030906E-05
38.7;8.22645396980616E-05
38.8;8.26087427930326E-05
38.9;8.29529458880035E-05
39;8.32971489829745E-05
39.1;8.39855551729164E-05
39.2;8.46739613628584E-05
39.3;8.53623675528003E-05
39.4;8.58786721952568E-05
39.5;8.65670783851987E-05
39.6;8.72554845751407E-05
39.7;8.77717892175971E-05
39.8;8.8460195407539E-05
39.9;8.9148601597481E-05
40;8.96649062399374E-05
40.1;9.01812108823939E-05
40.2;9.06975155248503E-05
40.3;9.10417186198213E-05
40.4;9.13859217147923E-05
40.5;9.17301248097632E-05
40.6;9.20743279047342E-05
40.7;9.25906325471907E-05
40.8;9.29348356421616E-05
40.9;9.32790387371326E-05
41;9.36232418321036E-05
41.1;9.37953433795891E-05
41.2;9.43116480220455E-05
41.3;9.46558511170165E-05
41.4;9.51721557594729E-05
41.5;9.56884604019294E-05
41.6;9.60326634969004E-05
41.7;9.65489681393568E-05
41.8;9.70652727818133E-05
41.9;9.74094758767842E-05
42;9.79257805192407E-05
42.1;9.9818897541581E-05
42.2;0.00010136781146895
42.3;0.00010291672539632
42.4;0.000104465639323689
42.5;0.000105842451703573
42.6;0.000107391365630942
42.7;0.000108940279558312
42.8;0.000110489193485681
42.9;0.000111866005865565
43;0.000113414919792934
43.1;0.000115824341457731
43.2;0.000117889560027557
